display,baseline,leading_gap_200,context_matched
ADX Trend Following,0.141371725654869,0.05498900219956,0.0095980803839232
Breakout + Volume + Momentum,0.1757648470305939,0.1279744051189762,0.0217956408718256
Connors RSI(2) Pullback,0.1427714457108578,0.1547690461907618,0.0003999200159968
Donchian Trend Reentry,0.646870625874825,0.6706658668266346,1.0
Mean Reversion + Volatility Filter,0.6624675064987002,0.667866426714657,0.395120975804839
Random Baseline,0.710257948410318,0.7126574685062987,1.0
Trend + Pullback,0.8700259948010398,0.9104179164167168,1.0
Turn-of-Month Seasonality,0.2335532893421315,0.3199360127974405,1.0
Uptrend Oversold Reversion,0.3409318136372725,0.3827234553089382,0.1457708458308338
Validation Strategy (Adaptive Volatility Momentum),0.3447310537892421,0.3031393721255749,0.9934013197360528
Volatility Squeeze Breakout,0.0533893221355728,0.0995800839832033,0.0303939212157568
